,DMC,ISI,temp,area
0,26.2,5.1,8.2,0.0
1,35.4,6.7,18.0,0.0
2,43.7,6.7,14.6,0.0
3,33.3,9.0,8.3,0.0
4,51.3,9.6,11.4,0.0
5,85.3,14.7,22.2,0.0
6,88.9,8.5,24.1,0.0
7,145.4,10.7,8.0,0.0
8,129.5,7.0,13.1,0.0
9,88.0,7.1,22.8,0.0
10,88.0,7.1,17.8,0.0
11,73.2,22.6,19.3,0.0
12,70.8,0.8,17.0,0.0
13,126.5,7.0,21.3,0.0
14,133.3,9.2,26.4,0.0
15,141.2,13.9,22.9,0.0
16,35.8,7.8,15.1,0.0
17,32.8,3.0,16.7,0.0
18,27.9,6.3,15.9,0.0
19,27.4,5.1,9.3,0.0
20,129.5,7.0,18.3,0.0
21,78.5,9.2,19.1,0.0
22,96.3,56.1,21.0,0.0
23,110.9,6.2,19.5,0.0
24,139.4,20.3,23.7,0.0
25,142.4,10.6,16.3,0.0
26,117.9,12.2,19.0,0.0
27,126.5,7.0,19.4,0.0
28,145.4,8.1,30.2,0.0
29,149.3,8.1,22.8,0.0
30,85.1,15.9,25.4,0.0
31,91.8,7.1,11.2,0.0
32,69.7,5.8,20.6,0.0
33,75.6,7.8,17.7,0.0
34,78.5,9.2,21.2,0.0
35,80.7,6.3,18.2,0.0
36,35.4,6.7,21.7,0.0
37,41.5,8.7,11.3,0.0
38,43.7,6.7,17.8,0.0
39,25.7,3.8,14.1,0.0
40,60.6,1.5,23.3,0.0
41,96.9,8.9,18.4,0.0
42,108.3,17.0,16.6,0.0
43,88.0,7.1,19.6,0.0
44,82.9,6.2,12.9,0.0
45,85.1,15.9,25.9,0.0
46,126.5,7.0,14.7,0.0
47,62.3,11.0,23.0,0.0
48,23.9,4.1,11.8,0.0
49,52.2,5.0,11.0,0.0
50,137.0,9.2,20.8,0.0
51,99.6,6.3,21.5,0.0
52,111.2,9.6,20.4,0.0
53,111.2,9.6,20.4,0.0
54,114.3,6.3,17.6,0.0
55,137.0,9.2,27.7,0.0
56,80.7,6.3,17.8,0.0
57,46.5,8.8,13.8,0.0
58,9.3,2.1,13.9,0.0
59,13.2,5.3,12.3,0.0
60,51.3,9.6,11.5,0.0
61,51.3,9.6,5.5,0.0
62,75.3,7.7,18.8,0.0
63,99.6,6.3,20.8,0.0
64,103.2,5.8,23.1,0.0
65,114.3,6.3,18.6,0.0
66,117.9,12.2,23.0,0.0
67,117.9,12.2,19.6,0.0
68,117.9,12.2,19.6,0.0
69,33.3,9.0,17.2,0.0
70,48.3,12.5,15.8,0.0
71,85.1,15.9,17.7,0.0
72,33.3,9.0,15.6,0.0
73,147.3,9.0,17.3,0.0
74,141.2,13.9,27.6,0.0
75,6.8,7.7,6.7,0.0
76,13.2,5.3,15.7,0.0
77,52.2,5.0,8.3,0.0
78,108.0,12.5,14.7,0.0
79,121.2,7.0,21.6,0.0
80,142.4,10.6,19.5,0.0
81,99.6,6.3,17.9,0.0
82,108.3,17.0,18.6,0.0
83,111.2,9.6,16.6,0.0
84,114.3,6.3,20.2,0.0
85,137.0,9.2,21.5,0.0
86,137.0,9.2,25.4,0.0
87,137.0,9.2,22.4,0.0
88,149.3,8.1,25.3,0.0
89,35.8,7.8,17.4,0.0
90,96.9,8.9,14.7,0.0
91,35.8,7.8,17.4,0.0
92,85.3,14.7,20.8,0.0
93,142.4,10.6,18.2,0.0
94,103.2,5.8,23.4,0.0
95,90.0,4.8,17.8,0.0
96,8.0,2.6,12.7,0.0
97,2.4,0.7,17.4,0.0
98,142.4,10.6,11.6,0.0
99,142.4,10.6,19.8,0.0
100,142.4,10.6,19.8,0.0
101,147.3,9.0,14.4,0.0
102,108.3,17.0,20.1,0.0
103,121.1,8.6,24.1,0.0
104,3.7,2.9,5.3,0.0
105,19.5,2.8,12.7,0.0
106,30.7,7.5,18.2,0.0
107,99.6,6.3,21.4,0.0
108,88.0,7.1,20.3,0.0
109,91.8,7.1,17.4,0.0
110,19.5,2.8,13.7,0.0
111,33.3,9.0,18.8,0.0
112,90.0,4.8,22.8,0.0
113,78.5,9.2,18.9,0.0
114,25.7,3.8,15.8,0.0
115,25.7,3.8,15.5,0.0
116,35.8,7.8,11.6,0.0
117,35.8,7.8,15.2,0.0
118,39.7,6.2,10.6,0.0
119,75.3,7.7,19.6,0.0
120,145.4,10.7,10.3,0.0
121,145.4,10.7,17.1,0.0
122,124.1,8.5,22.5,0.0
123,73.4,3.2,17.9,0.0
124,85.1,15.9,19.8,0.0
125,46.5,8.8,20.6,0.0
126,52.2,5.0,9.0,0.0
127,149.3,8.1,17.2,0.0
128,37.9,5.2,15.9,0.0
129,46.5,8.8,15.4,0.0
130,21.5,0.8,15.4,0.0
131,23.9,4.1,14.0,0.0
132,51.3,9.6,10.6,0.0
133,80.9,17.9,17.6,0.0
134,25.7,3.8,14.9,0.0
135,139.4,20.3,17.6,0.0
136,124.1,8.5,17.2,0.0
137,126.5,7.0,15.6,0.0
138,48.3,3.9,18.0,0.36
139,129.5,7.0,21.7,0.43
140,126.5,7.0,21.9,0.47
141,99.9,13.2,23.3,0.55
142,108.0,12.5,21.2,0.61
143,51.3,8.7,16.6,0.71
144,99.9,13.2,23.8,0.77
145,131.7,10.4,27.4,0.9
146,39.7,6.2,13.2,0.95
147,73.4,3.2,24.2,0.96
148,108.3,17.0,17.4,1.07
149,80.9,17.9,23.7,1.12
150,56.4,7.1,23.2,1.19
151,68.6,7.2,24.8,1.36
152,51.2,6.2,24.6,1.43
153,85.1,15.9,20.1,1.46
154,145.4,8.1,29.6,1.46
155,108.3,17.0,16.4,1.56
156,145.4,8.1,28.6,1.61
157,111.2,9.6,18.4,1.63
158,111.2,9.6,20.5,1.64
159,117.9,12.2,19.0,1.69
160,39.7,6.2,16.1,1.75
161,131.7,10.4,20.3,1.9
162,50.1,7.8,15.2,1.94
163,121.1,8.6,17.8,1.95
164,90.0,4.8,17.8,2.01
165,18.2,3.0,5.3,2.14
166,111.2,9.6,16.6,2.29
167,127.1,16.5,23.4,2.51
168,48.3,12.5,14.6,2.53
169,131.7,10.4,20.7,2.55
170,133.3,9.2,21.9,2.57
171,90.4,6.6,17.4,2.69
172,142.4,10.6,20.1,2.74
173,126.5,7.0,17.7,3.07
174,96.9,8.9,14.2,3.5
175,96.9,8.9,20.3,4.53
176,9.1,2.7,5.8,4.61
177,99.6,6.3,19.2,4.69
178,82.9,6.2,18.3,4.88
179,147.3,9.0,14.4,5.23
180,124.1,8.5,23.9,5.33
181,32.8,3.0,19.1,5.44
182,15.6,3.9,12.4,6.38
183,48.5,11.1,16.8,6.83
184,135.7,15.1,20.8,6.96
185,129.5,7.0,17.6,7.04
186,51.3,9.6,11.5,7.19
187,126.5,7.0,21.0,7.3
188,41.9,7.9,13.3,7.4
189,44.0,5.5,11.5,8.24
190,48.3,12.5,11.7,8.31
191,131.7,10.4,24.2,8.68
192,108.3,17.0,24.6,8.71
193,133.3,9.2,24.3,9.41
194,108.3,17.0,24.6,10.01
195,135.7,15.1,23.5,10.02
196,9.1,2.7,5.8,10.93
197,137.0,9.2,21.5,11.06
198,129.5,7.0,13.9,11.24
199,70.8,0.8,22.6,11.32
200,129.5,7.0,21.6,11.53
201,37.6,7.2,12.4,12.1
202,8.7,2.1,8.8,13.05
203,37.9,5.2,20.2,13.7
204,50.1,7.8,15.1,13.99
205,137.0,9.2,22.1,14.57
206,139.4,20.3,22.9,15.45
207,129.5,7.0,20.7,17.2
208,117.9,12.2,19.6,19.23
209,80.9,17.9,23.2,23.41
210,43.7,6.7,18.4,24.23
211,139.4,20.3,5.1,26.0
212,85.1,15.9,20.1,26.13
213,52.2,5.0,11.0,27.35
214,35.8,7.8,17.0,28.66
215,35.8,7.8,17.0,28.66
216,124.1,8.5,16.9,29.48
217,91.8,7.1,12.4,30.32
218,133.3,9.2,19.4,31.72
219,39.7,6.2,15.2,31.86
220,99.6,6.3,16.2,32.07
221,141.2,13.9,18.6,35.88
222,52.2,5.0,11.0,36.85
223,150.3,6.8,13.4,37.02
224,82.9,6.2,15.4,37.71
225,149.3,8.1,22.9,48.55
226,48.5,11.1,16.1,49.37
227,81.8,11.9,20.1,58.3
239,3.0,3.5,13.4,0.0
240,17.2,3.8,15.2,0.0
241,23.3,2.3,16.7,0.0
242,122.3,12.9,15.4,10.13
243,175.1,13.8,21.9,0.0
244,175.1,13.8,22.4,2.87
245,175.1,13.8,26.8,0.76
246,175.1,13.8,25.7,0.09
247,91.6,9.6,20.7,0.75
248,157.3,13.5,28.7,0.0
249,157.3,13.5,21.7,2.47
250,157.3,13.5,26.8,0.68
251,157.3,13.5,24.0,0.24
252,157.3,13.5,22.1,0.21
253,109.2,8.0,21.4,1.52
254,138.1,6.3,18.9,10.34
255,77.0,5.0,22.3,0.0
256,117.2,11.0,23.9,8.02
257,117.2,11.0,21.4,0.68
258,170.9,13.7,20.6,0.0
259,170.9,13.7,23.7,1.38
260,97.9,14.4,28.3,8.85
261,112.4,8.9,11.2,3.3
262,112.4,8.9,21.4,4.25
263,141.1,7.1,19.3,1.56
264,167.6,13.0,21.8,6.54
265,102.2,14.6,22.1,0.79
266,131.7,22.7,19.4,0.17
267,152.6,14.3,23.7,0.0
268,152.6,14.3,21.0,0.0
269,152.6,14.3,19.1,4.4
270,152.6,14.3,21.8,0.52
271,152.6,14.3,20.1,9.27
272,152.6,14.3,20.2,3.09
273,27.2,6.8,4.8,8.98
274,27.8,5.3,5.1,11.19
275,26.4,2.0,5.1,5.38
276,25.4,2.6,4.6,17.85
277,25.4,2.6,4.6,10.73
278,25.4,2.6,4.6,22.03
279,25.4,2.6,4.6,9.77
280,26.7,4.1,2.2,9.27
281,25.4,2.6,5.1,24.77
282,27.5,3.4,4.2,0.0
283,6.6,3.2,8.8,1.1
284,4.9,6.3,7.5,24.24
285,169.7,12.3,23.4,0.0
286,183.1,12.5,12.6,0.0
287,104.2,9.0,22.1,0.0
288,104.2,9.0,24.2,0.0
289,104.2,9.0,24.3,0.0
290,104.2,9.0,18.7,0.0
291,104.2,9.0,25.3,8.0
292,100.2,6.3,22.9,2.64
294,88.8,8.5,17.1,6.57
295,180.4,11.0,22.2,0.0
296,89.5,6.4,14.3,0.9
297,89.5,6.4,15.4,0.0
298,147.8,12.7,19.6,0.0
299,71.0,0.4,10.6,0.0
300,93.3,7.5,20.7,0.0
301,93.3,7.5,19.1,3.52
302,94.1,7.1,19.2,0.0
303,94.1,7.1,19.2,0.0
304,28.0,3.5,11.3,0.0
305,84.1,5.7,19.0,0.0
306,84.1,5.7,17.1,0.41
307,84.1,5.7,23.8,5.18
308,105.8,9.9,16.0,0.0
309,105.8,9.9,24.9,0.0
310,105.8,9.9,25.3,0.0
311,105.8,9.9,24.8,14.29
312,46.2,0.4,12.2,0.0
313,115.4,8.8,24.3,0.0
314,115.4,8.8,19.7,1.58
315,134.7,7.2,18.5,0.0
316,96.2,8.6,18.6,0.0
317,96.2,8.6,19.2,3.78
318,119.0,7.5,21.6,0.0
319,119.0,7.5,21.6,4.41
320,119.0,7.5,18.9,34.36
321,119.0,7.5,16.8,7.21
322,119.0,7.5,16.8,1.01
323,136.9,6.8,12.9,2.18
324,53.3,5.4,13.7,4.42
325,102.3,8.4,24.2,0.0
326,102.3,8.4,24.1,0.0
327,102.3,8.4,21.2,0.0
